Component Pins:
Owner   Type  Dir                 Value  Name
    25  float OUT                     0  axis.a.eoffset
    25  bit   IN                  FALSE  axis.a.eoffset-clear
    25  s32   IN                      0  axis.a.eoffset-counts
    25  bit   IN                  FALSE  axis.a.eoffset-enable
    25  float OUT                     0  axis.a.eoffset-request
    25  float IN                      0  axis.a.eoffset-scale
    25  float IN                      1  axis.a.jog-accel-fraction
    25  s32   IN                      0  axis.a.jog-counts
    25  bit   IN                  FALSE  axis.a.jog-enable
    25  float IN                      0  axis.a.jog-scale
    25  bit   IN                  FALSE  axis.a.jog-vel-mode
    25  bit   OUT                 FALSE  axis.a.kb-jog-active
    25  float OUT                     0  axis.a.pos-cmd
    25  float OUT                     0  axis.a.teleop-pos-cmd
    25  bit   OUT                 FALSE  axis.a.teleop-tp-enable
    25  float OUT                     0  axis.a.teleop-vel-cmd
    25  float OUT                     0  axis.a.teleop-vel-lim
    25  bit   OUT                 FALSE  axis.a.wheel-jog-active
    25  float OUT                     0  axis.b.eoffset
    25  bit   IN                  FALSE  axis.b.eoffset-clear
    25  s32   IN                      0  axis.b.eoffset-counts
    25  bit   IN                  FALSE  axis.b.eoffset-enable
    25  float OUT                     0  axis.b.eoffset-request
    25  float IN                      0  axis.b.eoffset-scale
    25  float IN                      1  axis.b.jog-accel-fraction
    25  s32   IN                      0  axis.b.jog-counts
    25  bit   IN                  FALSE  axis.b.jog-enable
    25  float IN                      0  axis.b.jog-scale
    25  bit   IN                  FALSE  axis.b.jog-vel-mode
    25  bit   OUT                 FALSE  axis.b.kb-jog-active
    25  float OUT                     0  axis.b.pos-cmd
    25  float OUT                     0  axis.b.teleop-pos-cmd
    25  bit   OUT                 FALSE  axis.b.teleop-tp-enable
    25  float OUT                     0  axis.b.teleop-vel-cmd
    25  float OUT                     0  axis.b.teleop-vel-lim
    25  bit   OUT                 FALSE  axis.b.wheel-jog-active
    25  float OUT                     0  axis.c.eoffset
    25  bit   IN                  FALSE  axis.c.eoffset-clear
    25  s32   IN                      0  axis.c.eoffset-counts
    25  bit   IN                  FALSE  axis.c.eoffset-enable
    25  float OUT                     0  axis.c.eoffset-request
    25  float IN                      0  axis.c.eoffset-scale
    25  float IN                      1  axis.c.jog-accel-fraction
    25  s32   IN                      0  axis.c.jog-counts
